date_time,global_active_power,fridge_w,fan_w,lights_w,tv_w,computer_w,ac_w
2025-01-01 00:33:00,248.64,137.5,5.66,35.0,12.74,0.0,3.84
2025-01-01 00:34:00,244.52,145.02,6.49,32.96,0.0,3.02,24.71
2025-01-01 00:35:00,230.23,136.84,5.0,35.07,2.98,0.0,18.08
2025-01-01 00:36:00,230.74,142.56,12.96,35.7,0.86,0.0,0.0
2025-01-01 00:37:00,252.68,133.89,5.0,25.56,2.64,0.0,13.0
2025-01-01 00:38:00,232.5,136.41,12.6,27.41,4.69,2.91,0.41
2025-01-01 00:39:00,241.26,142.51,5.0,27.12,1.13,13.31,3.45
2025-01-01 00:40:00,243.8,144.68,7.29,35.15,0.0,0.0,0.0
2025-01-01 00:41:00,257.97,142.41,7.7,29.29,6.68,9.66,8.27
2025-01-01 00:42:00,225.96,141.26,9.82,23.49,0.0,4.95,0.0
2025-01-01 00:43:00,233.97,140.52,7.41,31.91,4.8,0.0,0.0
2025-01-01 00:44:00,286.79,135.81,9.5,26.31,4.14,7.16,34.91
2025-01-01 00:45:00,220.03,138.85,10.21,28.35,0.0,8.63,0.0
2025-01-01 00:46:00,221.97,139.88,5.0,22.91,13.73,1.33,0.0
2025-01-01 00:47:00,280.08,145.96,5.0,34.01,8.81,0.0,47.19
2025-01-01 00:48:00,275.7,143.1,16.8,27.0,1.87,11.14,17.81
2025-01-01 00:49:00,262.62,134.68,5.0,27.71,3.41,8.14,28.99
2025-01-01 00:50:00,231.93,143.02,5.0,31.35,0.0,11.03,0.0
2025-01-01 00:51:00,244.82,140.19,6.27,37.64,2.38,0.0,0.0
2025-01-01 00:52:00,257.81,139.02,5.0,40.1,0.0,9.73,0.0
2025-01-01 00:53:00,260.76,144.17,7.01,27.32,0.0,3.37,22.24
2025-01-01 00:54:00,285.82,145.85,8.77,26.12,8.67,0.0,22.18
2025-01-01 00:55:00,295.83,145.45,8.93,39.18,0.61,16.13,0.0
2025-01-01 00:56:00,246.08,138.37,5.0,30.66,0.0,4.58,0.0
2025-01-01 00:57:00,260.28,140.49,9.89,39.03,0.0,4.32,37.4
2025-01-01 00:58:00,241.0,143.05,6.06,31.33,6.65,0.0,7.4
2025-01-01 00:59:00,248.4,145.63,5.0,20.87,0.76,7.04,16.01
2025-01-01 01:00:00,220.87,139.81,5.0,24.08,0.0,0.17,8.87
2025-01-01 01:01:00,250.12,140.98,6.16,32.55,2.1,0.0,0.0
2025-01-01 01:02:00,243.2,137.3,8.74,31.88,0.0,2.1,0.0
2025-01-01 01:03:00,247.64,136.94,7.53,30.87,2.94,0.0,0.0
2025-01-01 01:04:00,248.93,144.98,7.89,35.85,0.0,0.0,0.0
2025-01-01 01:05:00,218.09,147.15,13.07,23.37,0.0,0.0,0.0
2025-01-01 01:06:00,229.05,141.44,7.25,32.74,10.29,2.61,0.0
2025-01-01 01:07:00,231.84,145.74,9.28,28.16,3.71,0.0,0.0
2025-01-01 01:08:00,229.19,143.17,7.33,36.67,5.0,3.4,0.0
2025-01-01 01:09:00,235.8,139.15,17.44,31.86,2.47,0.0,20.68
2025-01-01 01:10:00,228.33,143.17,14.21,31.57,1.68,0.78,0.0
2025-01-01 01:11:00,231.56,147.88,10.91,29.56,0.0,8.99,0.0
2025-01-01 01:12:00,202.33,141.58,14.61,34.9,0.0,9.24,7.5
2025-01-01 01:13:00,230.79,147.99,6.93,20.85,0.0,0.0,0.0
2025-01-01 01:14:00,211.81,131.25,5.0,38.46,0.75,10.66,11.06
2025-01-01 01:15:00,232.3,145.02,5.83,25.86,4.9,2.2,11.03
2025-01-01 01:16:00,226.29,142.08,16.2,26.47,0.0,0.0,0.0
2025-01-01 01:17:00,251.67,140.53,7.82,31.78,5.11,0.0,0.0
2025-01-01 01:18:00,286.88,142.09,20.63,27.34,3.0,3.43,34.07
2025-01-01 01:19:00,253.08,133.78,5.0,19.74,7.57,4.91,42.92
2025-01-01 01:20:00,258.74,140.85,12.42,28.43,0.0,0.0,20.3
2025-01-01 01:21:00,217.84,143.16,5.0,27.7,0.0,0.0,0.0
2025-01-01 01:22:00,246.18,147.64,19.65,21.45,0.0,0.0,0.0
2025-01-01 01:23:00,191.55,139.65,5.0,17.76,10.18,3.21,8.11
2025-01-01 01:24:00,303.83,138.49,5.0,37.49,0.0,9.58,34.53
2025-01-01 01:25:00,183.31,139.72,5.0,34.67,0.0,0.0,0.0
2025-01-01 01:26:00,250.43,145.39,12.25,25.91,0.39,0.0,36.22
2025-01-01 01:27:00,202.36,143.04,12.24,23.97,1.08,5.22,6.83
2025-01-01 01:28:00,264.44,139.61,5.0,23.53,0.0,12.31,9.0
2025-01-01 01:29:00,259.37,143.78,11.03,26.08,1.88,5.46,0.0
2025-01-01 01:30:00,230.9,142.12,5.53,36.25,9.22,0.0,0.0
2025-01-01 01:31:00,290.98,145.6,5.0,39.63,0.0,16.36,60.96
2025-01-01 01:32:00,243.79,138.92,6.62,23.4,0.0,0.0,34.78
2025-01-01 01:33:00,258.54,140.42,9.65,34.6,0.0,5.55,16.81
2025-01-01 01:34:00,270.66,140.16,11.39,34.77,0.0,2.8,0.0
2025-01-01 01:35:00,223.36,135.87,13.81,22.37,2.15,0.0,0.0
2025-01-01 01:36:00,268.3,142.91,13.52,39.65,5.36,1.98,0.0
2025-01-01 01:37:00,192.66,142.77,13.92,28.71,0.0,0.0,0.0
2025-01-01 01:38:00,268.08,141.75,13.77,22.66,0.0,0.0,26.48
2025-01-01 01:39:00,246.45,140.79,8.79,23.6,0.0,7.16,13.72
2025-01-01 01:40:00,196.84,136.07,10.7,33.86,0.0,0.82,0.0
2025-01-01 01:41:00,282.72,140.04,8.28,31.69,0.0,12.75,25.81
2025-01-01 01:42:00,260.3,140.36,6.95,28.92,0.0,3.29,10.79
2025-01-01 01:43:00,231.9,138.52,12.35,21.25,4.92,0.0,0.0
2025-01-01 01:44:00,268.8,141.08,10.2,41.86,12.05,10.65,0.0
2025-01-01 01:45:00,249.44,143.34,13.77,29.94,0.0,4.43,0.0
2025-01-01 01:46:00,230.25,149.27,8.34,31.16,0.0,0.0,1.53
2025-01-01 01:47:00,289.34,142.43,5.0,35.99,0.0,0.0,45.56
2025-01-01 01:48:00,262.73,142.76,5.0,29.23,4.67,0.0,10.1
2025-01-01 01:49:00,206.73,141.43,9.64,33.66,2.98,9.02,0.0
2025-01-01 01:50:00,256.11,134.05,10.5,18.64,0.0,2.9,26.46
2025-01-01 01:51:00,264.84,141.62,11.5,25.9,5.58,0.0,0.0
2025-01-01 01:52:00,263.17,141.97,7.0,29.82,20.96,0.0,0.0
2025-01-01 01:53:00,273.27,151.58,7.05,26.24,15.61,11.22,0.0
2025-01-01 01:54:00,262.21,140.96,16.94,32.94,1.47,0.0,26.0
2025-01-01 01:55:00,251.51,142.93,5.0,47.48,0.0,3.73,0.0
2025-01-01 01:56:00,259.08,141.59,13.09,29.56,0.0,0.15,0.0
2025-01-01 01:57:00,232.75,137.05,10.86,34.04,7.91,5.53,0.0
2025-01-01 01:58:00,325.67,146.3,12.71,37.56,5.52,10.44,29.11
2025-01-01 01:59:00,204.86,144.74,7.66,27.39,0.0,0.0,1.89
2025-01-01 02:00:00,254.45,144.89,13.78,21.19,0.0,7.49,4.45
2025-01-01 02:01:00,1367.02,138.09,10.06,24.11,1.55,1.65,0.0
2025-01-01 02:02:00,269.55,147.34,9.14,33.05,8.13,0.0,22.78
2025-01-01 02:03:00,283.78,136.12,5.46,34.9,9.96,0.83,14.82
2025-01-01 02:04:00,234.77,144.07,6.1,23.88,9.07,5.06,12.26
2025-01-01 02:05:00,243.49,150.49,5.0,25.59,0.0,0.0,0.0
2025-01-01 02:06:00,1364.16,137.77,9.02,29.66,0.0,6.53,3.85
2025-01-01 02:07:00,227.77,139.46,5.0,26.41,12.03,11.86,0.0
2025-01-01 02:08:00,298.89,142.13,11.85,44.64,14.12,0.0,22.07
2025-01-01 02:09:00,248.2,139.71,11.39,43.5,5.33,0.0,17.12
2025-01-01 02:10:00,274.09,135.52,5.0,18.24,2.27,14.62,18.1
2025-01-01 02:11:00,247.68,142.0,5.3,40.25,0.0,4.93,0.0
2025-01-01 02:12:00,247.54,137.48,5.0,33.29,7.31,0.78,20.41
2025-01-01 02:13:00,244.71,143.62,5.0,26.98,1.93,0.0,13.07
2025-01-01 02:14:00,233.87,138.05,12.94,33.75,9.3,0.0,0.0
2025-01-01 02:15:00,289.91,147.93,8.07,28.56,12.42,4.87,39.46
2025-01-01 02:16:00,238.08,138.59,11.43,19.38,0.0,1.42,16.72
2025-01-01 02:17:00,240.8,140.44,11.4,35.79,9.76,6.47,0.0
2025-01-01 02:18:00,245.41,144.98,10.7,37.13,4.23,3.12,0.0
2025-01-01 02:19:00,197.82,136.8,5.0,24.07,0.0,4.52,0.0
2025-01-01 02:20:00,267.83,142.64,10.84,33.27,0.0,1.6,0.0
2025-01-01 02:21:00,257.97,146.96,5.0,27.32,0.0,3.62,0.0
2025-01-01 02:22:00,249.86,135.3,11.54,34.49,6.57,1.44,4.53
2025-01-01 02:23:00,266.33,142.47,5.0,18.96,5.74,4.3,0.0
2025-01-01 02:24:00,240.95,142.77,5.0,33.04,2.18,0.36,2.87
2025-01-01 02:25:00,224.23,144.85,5.91,24.71,0.0,5.47,7.07
2025-01-01 02:26:00,256.31,136.78,13.66,33.49,0.0,7.09,0.0
2025-01-01 02:27:00,187.8,136.45,8.01,21.52,0.0,12.7,0.0
2025-01-01 02:28:00,285.51,143.82,5.17,43.84,1.09,0.94,29.85
2025-01-01 02:29:00,230.91,142.92,6.58,20.54,0.0,11.66,4.03
2025-01-01 02:30:00,244.65,142.73,10.33,44.39,0.0,4.45,0.0
2025-01-01 02:31:00,302.22,143.11,8.91,41.83,6.7,4.17,34.6
2025-01-01 02:32:00,283.71,139.01,10.66,29.36,5.23,1.98,8.09
2025-01-01 02:33:00,239.07,142.66,10.74,19.38,5.14,0.0,9.35
2025-01-01 02:34:00,260.39,142.9,5.55,32.51,4.67,8.12,17.74
2025-01-01 02:35:00,250.69,138.87,5.02,40.3,3.25,0.0,0.0
2025-01-01 02:36:00,252.46,149.19,11.97,16.79,0.69,2.66,33.66
2025-01-01 02:37:00,267.83,143.62,7.85,36.66,3.79,8.11,37.19
2025-01-01 02:38:00,211.6,136.96,11.83,29.15,1.49,0.23,0.0
2025-01-01 02:39:00,211.53,144.35,5.0,31.94,0.89,7.87,4.03
2025-01-01 02:40:00,241.49,137.83,5.0,27.4,3.64,0.0,8.68
2025-01-01 02:41:00,249.8,144.88,5.0,31.29,1.15,1.66,0.0
2025-01-01 02:42:00,247.85,146.36,5.67,25.69,8.93,0.0,29.76
2025-01-01 02:43:00,226.36,138.44,5.0,35.53,7.88,0.0,0.0
2025-01-01 02:44:00,264.22,145.58,10.65,30.54,12.0,0.0,18.54
2025-01-01 02:45:00,321.13,143.38,6.77,43.5,7.39,0.0,27.1
2025-01-01 02:46:00,228.42,145.02,6.86,24.94,0.65,4.27,0.0
2025-01-01 02:47:00,174.6,149.31,8.49,30.34,3.45,0.0,1.35
2025-01-01 02:48:00,202.46,140.75,15.95,29.23,1.23,0.0,0.08
2025-01-01 02:49:00,256.8,138.71,15.75,35.97,0.0,2.27,0.0
2025-01-01 02:50:00,199.81,138.17,10.87,30.03,4.0,0.0,0.0
2025-01-01 02:51:00,270.26,138.46,7.33,30.84,0.0,0.0,5.1
2025-01-01 02:52:00,247.72,141.42,5.0,33.33,1.34,0.0,0.0
2025-01-01 02:53:00,298.41,143.09,14.44,38.99,9.62,0.0,25.81
2025-01-01 02:54:00,251.39,142.83,5.0,26.48,9.65,10.14,0.0
2025-01-01 02:55:00,226.55,145.04,6.17,29.37,3.76,14.39,0.0
2025-01-01 02:56:00,213.89,141.78,7.83,25.76,5.14,1.07,0.0
2025-01-01 02:57:00,250.48,147.54,5.0,22.52,3.2,0.14,0.35
2025-01-01 02:58:00,789.13,140.67,8.73,37.58,2.47,1.96,36.55
2025-01-01 02:59:00,277.46,152.61,5.0,28.01,16.85,6.65,0.0
2025-01-01 03:00:00,269.68,144.23,12.39,29.07,11.31,0.0,23.55
2025-01-01 03:01:00,242.15,138.3,13.61,34.09,0.0,10.5,0.0
2025-01-01 03:02:00,243.36,137.44,11.52,26.92,13.32,5.89,0.0
2025-01-01 03:03:00,301.57,143.66,5.0,35.46,2.45,15.9,30.04
2025-01-01 03:04:00,277.48,140.83,5.0,37.58,8.05,15.77,2.33
2025-01-01 03:05:00,244.5,144.58,7.09,35.62,2.14,0.49,0.0
2025-01-01 03:06:00,287.87,143.62,11.74,28.84,7.72,13.32,10.11
2025-01-01 03:07:00,531.32,141.44,7.15,32.47,0.0,2.19,0.0
2025-01-01 03:08:00,291.94,138.34,10.31,24.53,2.26,0.0,42.17
2025-01-01 03:09:00,269.9,135.67,14.91,34.42,0.0,0.0,39.51
2025-01-01 03:10:00,238.9,139.94,9.08,22.66,0.0,8.38,0.0
2025-01-01 03:11:00,246.87,145.15,12.42,39.1,1.44,0.0,0.0
2025-01-01 03:12:00,205.62,142.58,8.56,24.05,0.0,2.37,0.0
2025-01-01 03:13:00,290.17,136.74,11.75,34.61,0.0,11.6,8.86
2025-01-01 03:14:00,280.67,142.42,14.98,34.21,3.52,0.0,18.15
2025-01-01 03:15:00,249.08,143.27,5.0,32.31,6.56,0.49,7.61
2025-01-01 03:16:00,216.05,138.19,6.33,37.91,1.59,0.0,7.8
2025-01-01 03:17:00,267.5,142.34,5.0,24.48,3.54,15.29,12.05
2025-01-01 03:18:00,280.58,141.96,9.69,34.21,5.17,4.01,17.23
2025-01-01 03:19:00,232.62,137.16,20.35,31.69,0.0,12.76,4.75
2025-01-01 03:20:00,239.21,143.16,5.2,30.01,0.0,5.19,0.0
2025-01-01 03:21:00,214.44,143.97,5.33,27.86,0.0,4.84,0.0
2025-01-01 03:22:00,237.56,146.06,12.33,27.85,3.67,1.05,0.0
2025-01-01 03:23:00,236.75,145.94,14.7,27.8,0.0,1.24,26.12
2025-01-01 03:24:00,223.98,136.22,5.0,31.02,4.45,4.68,8.18
2025-01-01 03:25:00,210.65,137.98,11.26,18.62,0.0,2.78,0.0
2025-01-01 03:26:00,269.49,143.79,5.91,30.42,0.19,8.37,14.62
2025-01-01 03:27:00,241.69,143.78,5.0,30.52,0.0,0.77,0.0
2025-01-01 03:28:00,216.23,143.79,5.46,24.85,0.0,0.93,0.0
2025-01-01 03:29:00,298.37,157.14,15.04,40.26,19.69,1.71,26.7
2025-01-01 03:30:00,242.43,144.01,9.82,33.23,0.73,6.55,6.82
2025-01-01 03:31:00,235.1,146.27,8.93,22.07,0.66,9.22,0.0
2025-01-01 03:32:00,270.46,145.54,5.0,38.53,2.69,5.87,25.07
2025-01-01 03:33:00,248.72,144.33,14.66,37.72,0.31,11.43,9.73
2025-01-01 03:34:00,220.75,140.47,10.43,36.77,4.11,0.0,0.0
2025-01-01 03:35:00,229.53,144.76,5.0,33.75,5.5,0.0,8.03
2025-01-01 03:36:00,260.35,138.64,6.4,32.66,0.0,8.51,0.0
2025-01-01 03:37:00,232.71,140.78,5.0,40.01,12.14,1.06,0.1
2025-01-01 03:38:00,256.67,139.79,5.0,24.98,2.5,0.0,22.47
2025-01-01 03:39:00,254.33,142.05,13.69,38.54,0.0,2.16,1.75
2025-01-01 03:40:00,274.17,150.99,11.01,17.76,5.1,9.81,27.09
2025-01-01 03:41:00,235.0,134.26,8.28,35.08,7.37,6.4,0.0
2025-01-01 03:42:00,229.68,144.47,6.88,38.78,8.17,0.0,15.53
2025-01-01 03:43:00,276.22,135.28,15.1,25.87,11.91,10.65,12.05
2025-01-01 03:44:00,236.7,139.84,8.83,35.24,18.19,0.0,0.22
2025-01-01 03:45:00,269.28,146.08,13.43,36.23,0.0,5.5,25.21
2025-01-01 03:46:00,175.21,141.98,5.0,30.21,0.0,0.0,7.17
2025-01-01 03:47:00,245.14,137.42,6.4,35.56,4.43,6.65,1.87
2025-01-01 03:48:00,257.01,138.87,10.73,37.6,5.79,0.0,8.97
2025-01-01 03:49:00,278.41,144.45,16.8,33.51,5.59,2.42,9.95
2025-01-01 03:50:00,269.34,138.81,10.7,37.15,2.13,0.0,23.57
2025-01-01 03:51:00,217.72,142.59,5.0,33.25,4.45,0.62,24.97
2025-01-01 03:52:00,246.33,141.91,10.49,34.68,0.0,16.13,0.0
2025-01-01 03:53:00,259.24,139.12,7.87,37.03,0.0,7.64,17.58
2025-01-01 03:54:00,259.36,150.3,11.4,30.22,7.8,0.0,5.75
2025-01-01 03:55:00,269.96,144.26,9.0,24.81,16.63,2.41,9.18
2025-01-01 03:56:00,214.42,133.63,11.78,23.67,0.0,0.0,6.1
2025-01-01 03:57:00,215.67,142.47,7.6,28.42,12.98,0.0,0.0
2025-01-01 03:58:00,237.88,139.08,14.47,22.05,0.95,0.64,14.91
2025-01-01 03:59:00,254.51,145.14,13.98,25.74,12.65,0.0,21.39
2025-01-01 04:00:00,231.53,138.56,6.5,36.66,0.0,11.5,0.0
2025-01-01 04:01:00,270.4,141.27,6.88,24.4,0.0,1.49,0.0
2025-01-01 04:02:00,258.48,143.75,5.5,33.41,3.43,4.9,27.96
2025-01-01 04:03:00,220.02,145.19,6.49,35.27,0.0,2.65,0.0
2025-01-01 04:04:00,264.92,136.93,7.76,34.32,0.0,0.0,40.46
2025-01-01 04:05:00,271.37,140.39,5.01,34.81,4.35,0.0,15.49
2025-01-01 04:06:00,274.51,139.83,9.17,33.6,0.0,0.0,17.95
2025-01-01 04:07:00,249.33,139.11,5.0,15.94,4.09,0.0,4.73
2025-01-01 04:08:00,233.74,148.79,5.0,22.74,10.34,0.0,13.18
2025-01-01 04:09:00,220.11,143.35,5.0,27.12,0.0,0.0,0.0
2025-01-01 04:10:00,235.63,136.68,5.0,34.89,0.0,7.18,20.21
2025-01-01 04:11:00,284.25,145.4,13.9,33.03,0.0,12.45,25.5
2025-01-01 04:12:00,256.26,150.22,5.71,39.1,0.79,0.0,0.0
2025-01-01 04:13:00,230.32,145.86,11.67,31.53,3.9,9.87,0.0
2025-01-01 04:14:00,282.43,135.65,11.86,26.83,1.78,3.18,26.47
2025-01-01 04:15:00,212.42,139.79,5.9,27.59,3.05,0.0,0.0
2025-01-01 04:16:00,240.57,146.8,5.0,29.9,0.0,5.63,0.0
2025-01-01 04:17:00,246.26,138.9,12.4,29.54,5.72,0.14,0.0
2025-01-01 04:18:00,254.76,143.5,5.0,35.4,7.05,2.21,0.0
2025-01-01 04:19:00,313.92,144.83,17.11,36.22,1.62,0.0,52.42
2025-01-01 04:20:00,215.39,138.02,10.54,38.1,8.41,4.2,0.0
2025-01-01 04:21:00,261.65,141.49,10.54,28.1,3.86,0.0,32.46
2025-01-01 04:22:00,220.1,128.76,5.0,37.32,0.0,1.86,0.0
2025-01-01 04:23:00,266.9,137.63,5.99,34.32,4.83,9.8,17.22
2025-01-01 04:24:00,243.55,140.72,10.02,29.96,9.29,1.82,0.0
2025-01-01 04:25:00,286.59,136.74,11.1,36.81,3.22,0.98,0.0
2025-01-01 04:26:00,281.56,148.26,10.33,35.59,11.44,4.11,15.89
2025-01-01 04:27:00,248.96,136.01,8.5,40.53,6.57,10.75,0.0
2025-01-01 04:28:00,247.93,139.97,5.0,35.17,0.01,8.56,0.0
2025-01-01 04:29:00,224.48,142.25,5.75,32.76,0.0,6.42,12.38
2025-01-01 04:30:00,265.51,147.49,5.0,29.78,0.0,0.0,0.0
2025-01-01 04:31:00,255.0,135.98,5.0,20.14,0.98,6.55,0.0
2025-01-01 04:32:00,247.92,146.38,12.23,25.72,2.8,0.93,27.31
2025-01-01 04:33:00,268.2,141.77,14.77,27.66,11.71,3.69,0.0
2025-01-01 04:34:00,244.29,137.8,11.33,32.42,6.93,0.0,0.0
2025-01-01 04:35:00,221.18,143.58,11.88,41.51,3.65,0.0,0.0
2025-01-01 04:36:00,270.54,142.52,7.55,30.67,0.0,0.0,15.31
2025-01-01 04:37:00,265.49,139.33,11.69,32.26,3.21,14.11,0.0
2025-01-01 04:38:00,228.09,142.01,5.0,27.11,4.13,4.84,6.2
2025-01-01 04:39:00,248.52,140.19,14.61,26.29,0.0,0.01,32.26
2025-01-01 04:40:00,293.82,142.18,16.62,23.88,0.0,0.0,22.25
2025-01-01 04:41:00,289.19,144.38,6.47,20.85,0.0,6.5,55.97
2025-01-01 04:42:00,257.18,148.07,10.62,28.07,1.31,0.0,17.7
2025-01-01 04:43:00,283.31,136.78,14.29,37.78,6.86,10.42,1.61
2025-01-01 04:44:00,277.85,150.26,5.0,33.9,3.77,0.0,18.28
2025-01-01 04:45:00,250.14,133.92,13.94,29.76,6.32,0.0,0.0
2025-01-01 04:46:00,260.69,141.12,8.99,34.59,3.85,11.27,0.0
2025-01-01 04:47:00,239.9,144.08,10.55,15.29,6.5,0.0,8.76
2025-01-01 04:48:00,248.5,142.85,12.52,29.99,0.0,0.0,5.31
2025-01-01 04:49:00,257.65,139.24,14.26,28.35,9.3,0.0,2.33
2025-01-01 04:50:00,234.33,140.89,5.0,32.0,5.67,0.0,0.0
2025-01-01 04:51:00,239.26,139.76,6.33,23.94,1.96,1.22,21.7
2025-01-01 04:52:00,212.63,139.37,10.0,32.41,0.0,4.67,0.0
2025-01-01 04:53:00,262.1,145.13,13.14,29.07,8.71,0.0,15.02
2025-01-01 04:54:00,225.68,143.16,11.23,21.23,0.0,0.7,2.2
2025-01-01 04:55:00,231.33,138.96,5.0,26.26,9.81,7.92,0.0
2025-01-01 04:56:00,264.74,145.33,9.31,29.73,0.0,4.44,0.0
2025-01-01 04:57:00,226.14,142.96,9.58,20.48,9.94,5.31,0.0
2025-01-01 04:58:00,279.83,144.98,12.69,41.21,3.37,0.0,13.9
2025-01-01 04:59:00,269.9,144.25,14.98,37.87,5.69,7.57,4.68
2025-01-01 05:00:00,258.27,138.41,5.0,23.93,24.07,0.0,0.0
2025-01-01 05:01:00,246.16,139.49,8.02,25.15,0.0,9.02,19.85
2025-01-01 05:02:00,244.73,144.72,5.48,45.48,0.0,15.47,0.0
2025-01-01 05:03:00,271.74,144.17,9.51,23.56,0.58,5.15,11.96
2025-01-01 05:04:00,272.13,141.64,5.65,34.96,1.61,5.16,38.77
2025-01-01 05:05:00,226.67,142.2,6.28,26.56,0.0,0.0,0.0
2025-01-01 05:06:00,256.65,146.84,6.51,31.93,2.7,1.5,13.09
2025-01-01 05:07:00,222.84,139.36,5.0,37.02,0.0,0.0,5.5
2025-01-01 05:08:00,251.11,143.92,5.0,30.03,1.51,0.0,24.64
2025-01-01 05:09:00,240.33,140.92,13.53,27.44,0.0,0.0,13.74
2025-01-01 05:10:00,234.13,140.86,11.42,33.01,4.77,0.0,5.61
2025-01-01 05:11:00,215.13,146.12,5.0,23.28,1.71,0.0,0.6
2025-01-01 05:12:00,223.58,145.03,12.07,32.44,5.83,0.0,0.0
2025-01-01 05:13:00,206.65,144.98,5.0,26.49,2.08,1.98,0.0
2025-01-01 05:14:00,208.52,146.95,7.24,25.81,12.0,0.0,0.0
2025-01-01 05:15:00,253.34,141.81,5.0,36.9,4.31,5.16,0.0
2025-01-01 05:16:00,173.11,144.46,5.66,19.07,1.79,3.66,1.1
2025-01-01 05:17:00,276.89,140.49,18.61,23.58,0.0,4.79,0.0
2025-01-01 05:18:00,255.96,143.02,10.62,39.89,2.76,0.0,0.0
2025-01-01 05:19:00,236.08,141.21,10.79,27.25,3.42,0.0,10.59
2025-01-01 05:20:00,229.9,142.12,9.88,32.56,9.74,0.0,0.0
2025-01-01 05:21:00,250.2,144.11,6.73,29.01,0.0,2.52,18.09
2025-01-01 05:22:00,234.67,138.45,5.0,26.09,1.22,0.0,6.67
2025-01-01 05:23:00,268.05,150.1,5.0,28.23,4.81,2.61,1.58
2025-01-01 05:24:00,256.17,137.7,18.83,27.37,0.68,4.78,0.0
2025-01-01 05:25:00,279.75,136.87,8.14,28.05,10.04,0.0,43.26
2025-01-01 05:26:00,232.64,146.36,7.02,35.22,2.98,12.19,0.0
2025-01-01 05:27:00,231.94,144.89,12.38,35.65,0.0,1.67,0.0
2025-01-01 05:28:00,209.27,144.22,7.46,21.9,1.55,5.99,0.0
2025-01-01 05:29:00,244.51,144.24,18.01,32.53,0.0,0.0,0.0
2025-01-01 05:30:00,217.75,141.68,13.33,24.5,0.0,4.09,10.07
2025-01-01 05:31:00,243.84,138.14,5.0,33.61,0.0,3.73,0.0
2025-01-01 05:32:00,246.22,142.03,5.0,24.02,4.09,1.79,0.0
2025-01-01 05:33:00,270.15,139.02,5.95,30.18,5.51,0.0,26.21
2025-01-01 05:34:00,242.51,145.63,8.47,20.65,7.36,2.9,0.0
2025-01-01 05:35:00,238.42,141.14,12.14,24.15,11.77,0.0,3.61
2025-01-01 05:36:00,212.82,138.43,15.23,32.01,0.02,3.19,0.0
2025-01-01 05:37:00,273.67,140.44,11.87,25.18,5.82,0.0,0.89
2025-01-01 05:38:00,242.46,143.38,10.31,27.04,5.56,6.13,9.51
